date_key,full_date,year,month,month_name,day,day_of_week_num,day_name,is_weekend,quarter
119,2016-04-28 00:00:00+05:30,2016,4,April    ,28,4,Thursday ,f,2
120,2016-04-29 00:00:00+05:30,2016,4,April    ,29,5,Friday   ,f,2
121,2016-04-30 00:00:00+05:30,2016,4,April    ,30,6,Saturday ,t,2
122,2016-05-01 00:00:00+05:30,2016,5,May      ,1,0,Sunday   ,t,2
123,2016-05-02 00:00:00+05:30,2016,5,May      ,2,1,Monday   ,f,2
124,2016-05-03 00:00:00+05:30,2016,5,May      ,3,2,Tuesday  ,f,2
125,2016-05-04 00:00:00+05:30,2016,5,May      ,4,3,Wednesday,f,2
126,2016-05-05 00:00:00+05:30,2016,5,May      ,5,4,Thursday ,f,2
127,2016-05-06 00:00:00+05:30,2016,5,May      ,6,5,Friday   ,f,2
128,2016-05-07 00:00:00+05:30,2016,5,May      ,7,6,Saturday ,t,2
129,2016-05-08 00:00:00+05:30,2016,5,May      ,8,0,Sunday   ,t,2
130,2016-05-09 00:00:00+05:30,2016,5,May      ,9,1,Monday   ,f,2
131,2016-05-10 00:00:00+05:30,2016,5,May      ,10,2,Tuesday  ,f,2
132,2016-05-11 00:00:00+05:30,2016,5,May      ,11,3,Wednesday,f,2
133,2016-05-12 00:00:00+05:30,2016,5,May      ,12,4,Thursday ,f,2
134,2016-05-13 00:00:00+05:30,2016,5,May      ,13,5,Friday   ,f,2
135,2016-05-14 00:00:00+05:30,2016,5,May      ,14,6,Saturday ,t,2
136,2016-05-15 00:00:00+05:30,2016,5,May      ,15,0,Sunday   ,t,2
137,2016-05-16 00:00:00+05:30,2016,5,May      ,16,1,Monday   ,f,2
138,2016-05-17 00:00:00+05:30,2016,5,May      ,17,2,Tuesday  ,f,2
139,2016-05-18 00:00:00+05:30,2016,5,May      ,18,3,Wednesday,f,2
140,2016-05-19 00:00:00+05:30,2016,5,May      ,19,4,Thursday ,f,2
141,2016-05-20 00:00:00+05:30,2016,5,May      ,20,5,Friday   ,f,2
142,2016-05-21 00:00:00+05:30,2016,5,May      ,21,6,Saturday ,t,2
143,2016-05-22 00:00:00+05:30,2016,5,May      ,22,0,Sunday   ,t,2
144,2016-05-23 00:00:00+05:30,2016,5,May      ,23,1,Monday   ,f,2
145,2016-05-24 00:00:00+05:30,2016,5,May      ,24,2,Tuesday  ,f,2
146,2016-05-25 00:00:00+05:30,2016,5,May      ,25,3,Wednesday,f,2
147,2016-05-26 00:00:00+05:30,2016,5,May      ,26,4,Thursday ,f,2
148,2016-05-27 00:00:00+05:30,2016,5,May      ,27,5,Friday   ,f,2
149,2016-05-28 00:00:00+05:30,2016,5,May      ,28,6,Saturday ,t,2
150,2016-05-29 00:00:00+05:30,2016,5,May      ,29,0,Sunday   ,t,2
151,2016-05-30 00:00:00+05:30,2016,5,May      ,30,1,Monday   ,f,2
152,2016-05-31 00:00:00+05:30,2016,5,May      ,31,2,Tuesday  ,f,2
153,2016-06-01 00:00:00+05:30,2016,6,June     ,1,3,Wednesday,f,2
154,2016-06-02 00:00:00+05:30,2016,6,June     ,2,4,Thursday ,f,2
155,2016-06-03 00:00:00+05:30,2016,6,June     ,3,5,Friday   ,f,2
156,2016-06-04 00:00:00+05:30,2016,6,June     ,4,6,Saturday ,t,2
157,2016-06-05 00:00:00+05:30,2016,6,June     ,5,0,Sunday   ,t,2
158,2016-06-06 00:00:00+05:30,2016,6,June     ,6,1,Monday   ,f,2
159,2016-06-07 00:00:00+05:30,2016,6,June     ,7,2,Tuesday  ,f,2
160,2016-06-08 00:00:00+05:30,2016,6,June     ,8,3,Wednesday,f,2
161,2016-06-09 00:00:00+05:30,2016,6,June     ,9,4,Thursday ,f,2
162,2016-06-10 00:00:00+05:30,2016,6,June     ,10,5,Friday   ,f,2
163,2016-06-11 00:00:00+05:30,2016,6,June     ,11,6,Saturday ,t,2
164,2016-06-12 00:00:00+05:30,2016,6,June     ,12,0,Sunday   ,t,2
165,2016-06-13 00:00:00+05:30,2016,6,June     ,13,1,Monday   ,f,2
166,2016-06-14 00:00:00+05:30,2016,6,June     ,14,2,Tuesday  ,f,2
167,2016-06-15 00:00:00+05:30,2016,6,June     ,15,3,Wednesday,f,2
168,2016-06-16 00:00:00+05:30,2016,6,June     ,16,4,Thursday ,f,2
169,2016-06-17 00:00:00+05:30,2016,6,June     ,17,5,Friday   ,f,2
170,2016-06-18 00:00:00+05:30,2016,6,June     ,18,6,Saturday ,t,2
171,2016-06-19 00:00:00+05:30,2016,6,June     ,19,0,Sunday   ,t,2
172,2016-06-20 00:00:00+05:30,2016,6,June     ,20,1,Monday   ,f,2
173,2016-06-21 00:00:00+05:30,2016,6,June     ,21,2,Tuesday  ,f,2
174,2016-06-22 00:00:00+05:30,2016,6,June     ,22,3,Wednesday,f,2
175,2016-06-23 00:00:00+05:30,2016,6,June     ,23,4,Thursday ,f,2
176,2016-06-24 00:00:00+05:30,2016,6,June     ,24,5,Friday   ,f,2
177,2016-06-25 00:00:00+05:30,2016,6,June     ,25,6,Saturday ,t,2
178,2016-06-26 00:00:00+05:30,2016,6,June     ,26,0,Sunday   ,t,2
179,2016-06-27 00:00:00+05:30,2016,6,June     ,27,1,Monday   ,f,2
180,2016-06-28 00:00:00+05:30,2016,6,June     ,28,2,Tuesday  ,f,2
181,2016-06-29 00:00:00+05:30,2016,6,June     ,29,3,Wednesday,f,2
182,2016-06-30 00:00:00+05:30,2016,6,June     ,30,4,Thursday ,f,2
183,2016-07-01 00:00:00+05:30,2016,7,July     ,1,5,Friday   ,f,3
184,2016-07-02 00:00:00+05:30,2016,7,July     ,2,6,Saturday ,t,3
